Country,StateName,StateCode,Year,Number_of_previously_treated_TB_patients_notified_under_public_sector_sum,Number_of_previously_treated_TB_patients_notified_under_public_sector_avg,Number_of_persons_cured_sum,Number_of_persons_cured_avg,Percentage_of_cure_rate_sum,Percentage_of_cure_rate_avg,Number_of_persons_treated_successfully_sum,Number_of_persons_treated_successfully_avg,Percentage_of_success_rate_sum,Percentage_of_success_rate_avg,Number_of_persons_died_sum,Number_of_persons_died_avg,Percentage_of_death_rate_sum,Percentage_of_death_rate_avg,Number_of_persons_who_do_not_return_for_necessary_follow-up_visits_sum,Number_of_persons_who_do_not_return_for_necessary_follow-up_visits_avg,Percentage_of_lost_to_follow_up_sum,Percentage_of_lost_to_follow_up_avg,Number_of_persons_for_whom_the_treatment_was_a_failure_sum,Number_of_persons_for_whom_the_treatment_was_a_failure_avg,Percentage_of_treatment_failure_rate_sum,Percentage_of_treatment_failure_rate_avg,Number_of_persons_for_whom_the_treatment_regimen_has_to_change_sum,Number_of_persons_for_whom_the_treatment_regimen_has_to_change_avg,Percentage_of_regimen_change_sum,Percentage_of_regimen_change_avg,Number_of_persons_whose_treatments_is_not_clear_sum,Number_of_persons_whose_treatments_is_not_clear_avg,Percentage_of_not_evaluated_sum,Percentage_of_not_evaluated_avg,Number_of_bacteriologically_confirmed_TB_patients_sum,Number_of_bacteriologically_confirmed_TB_patients_avg
India,Telangana,36,"Calendar Year (Jan - Dec), 2018",6903.0,6903.0,3838.0,3838.0,67.0,67.0,5745.0,5745.0,83.0,83.0,421.0,421.0,6.0,6.0,240.0,240.0,3.0,3.0,155.0,155.0,2.0,2.0,153.0,153.0,2.0,2.0,189.0,189.0,3.0,3.0,5704.0,5704.0
India,Telangana,36,"Calendar Year (Jan - Dec), 2019",6363.0,6363.0,3303.0,3303.0,68.0,68.0,5257.0,5257.0,83.0,83.0,341.0,341.0,5.4,5.4,144.0,144.0,2.3,2.3,106.0,106.0,1.7,1.7,162.0,162.0,2.5,2.5,353.0,353.0,5.5,5.5,4848.0,4848.0
India,Telangana,36,"Calendar Year (Jan - Dec), 2020",5307.0,5307.0,2667.0,2667.0,76.0,76.0,4398.0,4398.0,83.0,83.0,234.0,234.0,4.4,4.4,74.0,74.0,1.4,1.4,61.0,61.0,1.1,1.1,199.0,199.0,3.7,3.7,155.0,155.0,2.9,2.9,3532.0,3532.0
India,Telangana,36,"Calendar Year (Jan - Dec), 2021",5364.0,5364.0,2709.0,2709.0,50.5,50.5,4662.0,4662.0,86.9,86.9,210.0,210.0,3.9,3.9,94.0,94.0,1.8,1.8,61.0,61.0,1.1,1.1,94.0,94.0,1.8,1.8,67.0,67.0,1.2,1.2,,
India,Telangana,36,"Calendar Year (Jan - Dec), 2022",6178.0,6178.0,2721.0,2721.0,44.0,44.0,5196.0,5196.0,84.1,84.1,175.0,175.0,2.8,2.8,74.0,74.0,1.2,1.2,58.0,58.0,0.9,0.9,177.0,177.0,2.9,2.9,41.0,41.0,0.7,0.7,,
India,Ladakh,37,"Calendar Year (Jan - Dec), 2017",25.7009394424,25.7009394424,12.052100113,12.052100113,47.0,47.0,15.0924665662,15.0924665662,59.0,59.0,1.0936569975,1.0936569975,4.0,4.0,1.0936569975,1.0936569975,4.0,4.0,0.6561941985,0.6561941985,3.0,3.0,0.3718433792,0.3718433792,1.0,1.0,7.3931213034,7.3931213034,,,,
India,Ladakh,37,"Calendar Year (Jan - Dec), 2018",32.7659636465,32.7659636465,19.3577288566,19.3577288566,71.0,71.0,27.4945369184,27.4945369184,84.0,84.0,1.334261537,1.334261537,4.0,4.0,1.4873735167,1.4873735167,5.0,5.0,0.6561941985,0.6561941985,2.0,2.0,0.1968582596,0.1968582596,1.0,1.0,1.5967392164,1.5967392164,5.0,5.0,27.0789472593,27.0789472593
India,Ladakh,37,"Calendar Year (Jan - Dec), 2019",43.0,43.0,16.0,16.0,48.0,48.0,40.0,40.0,93.0,93.0,2.0,2.0,4.7,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.3,2.3,33.0,33.0
India,Ladakh,37,"Calendar Year (Jan - Dec), 2020",40.0,40.0,13.0,13.0,45.0,45.0,26.0,26.0,65.0,65.0,8.0,8.0,20.0,20.0,1.0,1.0,2.5,2.5,0.0,0.0,0.0,0.0,1.0,1.0,2.5,2.5,4.0,4.0,10.0,10.0,29.0,29.0
India,Ladakh,37,"Calendar Year (Jan - Dec), 2021",41.0,41.0,19.0,19.0,46.3,46.3,36.0,36.0,87.8,87.8,1.0,1.0,2.4,2.4,0.0,0.0,0.0,0.0,1.0,1.0,2.4,2.4,0.0,0.0,0.0,0.0,1.0,1.0,2.4,2.4,,
India,Ladakh,37,"Calendar Year (Jan - Dec), 2022",0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,The Dadra And Nagar Haveli And Daman And Diu,38,"Calendar Year (Jan - Dec), 2017",129.0,129.0,55.0,55.0,36.4942562576,36.4942562576,98.0,98.0,73.6931548946,73.6931548946,4.0,4.0,2.7386309789,2.7386309789,21.0,21.0,21.3523211897,21.3523211897,0.0,0.0,0.0,0.0,1.0,1.0,0.3693154895,0.3693154895,5.0,5.0,,,,
India,The Dadra And Nagar Haveli And Daman And Diu,38,"Calendar Year (Jan - Dec), 2018",158.0,158.0,51.0,51.0,74.0624703841,74.0624703841,134.0,134.0,82.9090478314,82.9090478314,7.0,7.0,4.3693154895,4.3693154895,9.0,9.0,7.5682141265,7.5682141265,2.0,2.0,1.8920535316,1.8920535316,6.0,6.0,3.8920535316,3.8920535316,0.0,0.0,0.0,0.0,67.0,67.0
India,The Dadra And Nagar Haveli And Daman And Diu,38,"Calendar Year (Jan - Dec), 2019",156.0,156.0,57.0,57.0,72.0,72.0,136.0,136.0,87.0,87.0,3.0,3.0,1.9,1.9,6.0,6.0,3.8,3.8,0.0,0.0,0.0,0.0,4.0,4.0,2.6,2.6,7.0,7.0,4.5,4.5,79.0,79.0
India,The Dadra And Nagar Haveli And Daman And Diu,38,"Calendar Year (Jan - Dec), 2020",99.0,99.0,43.0,43.0,98.0,98.0,90.0,90.0,91.0,91.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0
India,The Dadra And Nagar Haveli And Daman And Diu,38,"Calendar Year (Jan - Dec), 2021",93.0,93.0,35.0,35.0,37.6,37.6,78.0,78.0,83.9,83.9,9.0,9.0,9.7,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.2,2.2,,
India,The Dadra And Nagar Haveli And Daman And Diu,38,"Calendar Year (Jan - Dec), 2022",219.0,219.0,94.0,94.0,42.9,42.9,203.0,203.0,92.7,92.7,5.0,5.0,2.3,2.3,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,5.0,5.0,2.3,2.3,0.0,0.0,0.0,0.0,,
