Country,StateName,StateCode,Year,GENDER,I1227_4_sum,I1227_4_avg,I1227_5_sum,I1227_5_avg,I1227_6_sum,I1227_6_avg,I1227_7_sum,I1227_7_avg,I1227_8_sum,I1227_8_avg
India,West Bengal,19,"Calendar Year (Jan - Dec), 2021",TransGender,71,71.0,57.0,57.0,2.0,2.0,80.0,80.0,3.0,3.0
India,West Bengal,19,"Calendar Year (Jan - Dec), 2022",Female,25416,25416.0,21637.0,21637.0,1151.0,1151.0,85.0,85.0,5.0,5.0
India,West Bengal,19,"Calendar Year (Jan - Dec), 2022",Male,52038,52038.0,43509.0,43509.0,3167.0,3167.0,84.0,84.0,6.0,6.0
India,West Bengal,19,"Calendar Year (Jan - Dec), 2022",TransGender,23,23.0,19.0,19.0,2.0,2.0,83.0,83.0,9.0,9.0
India,West Bengal,19,"Calendar Year (Jan - Dec), 2023",Female,29325,29325.0,24726.0,24726.0,1262.0,1262.0,84.3,84.3,4.3,4.3
India,West Bengal,19,"Calendar Year (Jan - Dec), 2023",Male,59930,59930.0,49688.0,49688.0,3701.0,3701.0,82.9,82.9,6.2,6.2
India,West Bengal,19,"Calendar Year (Jan - Dec), 2023",TransGender,22,22.0,18.0,18.0,0.0,0.0,81.8,81.8,0.0,0.0
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2021",Female,17795,17795.0,13606.0,13606.0,353.0,353.0,76.0,76.0,2.0,2.0
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2021",Male,39679,39679.0,30138.0,30138.0,1056.0,1056.0,76.0,76.0,3.0,3.0
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2021",TransGender,56,56.0,42.0,42.0,1.0,1.0,75.0,75.0,2.0,2.0
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2022",Female,14460,14460.0,12250.0,12250.0,424.0,424.0,85.0,85.0,3.0,3.0
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2022",Male,31191,31191.0,25783.0,25783.0,1144.0,1144.0,83.0,83.0,4.0,4.0
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2022",TransGender,9,9.0,8.0,8.0,0.0,0.0,89.0,89.0,0.0,0.0
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2023",Female,17097,17097.0,14917.0,14917.0,474.0,474.0,87.2,87.2,2.8,2.8
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2023",Male,35675,35675.0,30739.0,30739.0,1351.0,1351.0,86.2,86.2,3.8,3.8
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2023",TransGender,20,20.0,16.0,16.0,1.0,1.0,80.0,80.0,5.0,5.0
