Country,StateName,StateCode,Year,TRU,D7292_3,I7292_4_sum,I7292_4_avg,I7292_5_sum,I7292_5_avg,I7292_6_sum,I7292_6_avg,I7292_7_sum,I7292_7_avg,I7292_8_sum,I7292_8_avg,I7292_9_sum,I7292_9_avg,I7292_10_sum,I7292_10_avg,I7292_11_sum,I7292_11_avg,I7292_12_sum,I7292_12_avg,I7292_13_sum,I7292_13_avg,I7292_14_sum,I7292_14_avg
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Urban ,Female,0.5,0.5,9.3,9.3,61.0,61.0,8.3,8.3,8.9,8.9,0.0,0.0,10.5,10.5,2.1,2.1,100.0,100.0,155.0,155.0,110.0,110.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Urban ,Male,0.6,0.6,12.9,12.9,43.7,43.7,1.7,1.7,10.7,10.7,0.0,0.0,29.1,29.1,1.9,1.9,100.0,100.0,221.0,221.0,149.0,149.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Urban ,Person,0.5,0.5,11.4,11.4,50.9,50.9,4.5,4.5,9.9,9.9,0.0,0.0,21.3,21.3,1.9,1.9,100.0,100.0,376.0,376.0,259.0,259.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Rural ,Female,2.2,2.2,5.2,5.2,34.4,34.4,0.5,0.5,32.8,32.8,0.0,0.0,24.4,24.4,2.6,2.6,100.0,100.0,1120.0,1120.0,233.0,233.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Rural ,Male,3.3,3.3,5.4,5.4,51.2,51.2,0.8,0.8,24.1,24.1,0.0,0.0,18.2,18.2,0.5,0.5,100.0,100.0,1940.0,1940.0,377.0,377.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Rural ,Person,2.8,2.8,5.3,5.3,45.0,45.0,0.7,0.7,27.3,27.3,0.0,0.0,20.5,20.5,1.3,1.3,100.0,100.0,3060.0,3060.0,610.0,610.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Total,Female,2.3,2.3,5.5,5.5,33.8,33.8,2.9,2.9,30.5,30.5,0.2,0.2,23.7,23.7,3.3,3.3,100.0,100.0,2092.0,2092.0,518.0,518.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Total,Male,3.2,3.2,6.7,6.7,43.8,43.8,4.5,4.5,26.0,26.0,0.0,0.0,17.4,17.4,2.0,2.0,100.0,100.0,3075.0,3075.0,708.0,708.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Total,Person,2.8,2.8,6.2,6.2,39.8,39.8,3.8,3.8,27.8,27.8,0.1,0.1,19.9,19.9,2.5,2.5,100.0,100.0,5167.0,5167.0,1226.0,1226.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Urban ,Female,2.6,2.6,5.8,5.8,33.0,33.0,5.9,5.9,27.7,27.7,0.5,0.5,22.9,22.9,4.2,4.2,100.0,100.0,972.0,972.0,285.0,285.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Urban ,Male,3.0,3.0,8.8,8.8,31.2,31.2,10.6,10.6,29.3,29.3,0.0,0.0,16.0,16.0,4.4,4.4,100.0,100.0,1135.0,1135.0,331.0,331.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Urban ,Person,2.8,2.8,7.5,7.5,32.0,32.0,8.6,8.6,28.6,28.6,0.2,0.2,19.1,19.1,4.3,4.3,100.0,100.0,2108.0,2108.0,616.0,616.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Rural ,Female,0.0,0.0,0.0,0.0,30.1,30.1,45.4,45.4,16.5,16.5,0.0,0.0,6.2,6.2,1.8,1.8,100.0,100.0,17.0,17.0,10.0,10.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Rural ,Male,0.0,0.0,3.4,3.4,62.9,62.9,8.1,8.1,0.0,0.0,0.0,0.0,11.6,11.6,14.0,14.0,100.0,100.0,13.0,13.0,11.0,11.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Rural ,Person,0.0,0.0,1.4,1.4,43.7,43.7,30.0,30.0,9.7,9.7,0.0,0.0,8.4,8.4,6.8,6.8,100.0,100.0,30.0,30.0,21.0,21.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Total,Female,1.4,1.4,6.9,6.9,28.8,28.8,8.8,8.8,19.2,19.2,0.1,0.1,21.2,21.2,15.4,15.4,100.0,100.0,1128.0,1128.0,178.0,178.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Total,Male,0.9,0.9,3.7,3.7,34.7,34.7,5.1,5.1,20.9,20.9,0.2,0.2,24.3,24.3,11.6,11.6,100.0,100.0,834.0,834.0,214.0,214.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Total,Person,1.1,1.1,5.5,5.5,31.3,31.3,7.2,7.2,19.9,19.9,0.1,0.1,22.5,22.5,13.8,13.8,100.0,100.0,1963.0,1963.0,392.0,392.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Urban ,Female,3.4,3.4,7.0,7.0,28.8,28.8,8.2,8.2,19.3,19.3,0.1,0.1,21.4,21.4,15.6,15.6,100.0,100.0,1111.0,1111.0,168.0,168.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Urban ,Male,2.3,2.3,3.7,3.7,34.3,34.3,5.0,5.0,21.2,21.2,0.2,0.2,24.5,24.5,11.6,11.6,100.0,100.0,821.0,821.0,203.0,203.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Urban ,Person,2.8,2.8,5.6,5.6,31.1,31.1,6.9,6.9,20.1,20.1,0.1,0.1,22.7,22.7,14.0,14.0,100.0,100.0,1932.0,1932.0,371.0,371.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Rural ,Female,5.3,5.3,17.2,17.2,45.0,45.0,4.0,4.0,17.2,17.2,0.5,0.5,12.6,12.6,3.7,3.7,100.0,100.0,2836.0,2836.0,389.0,389.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Rural ,Male,5.4,5.4,13.2,13.2,38.7,38.7,3.6,3.6,28.5,28.5,0.0,0.0,13.8,13.8,2.3,2.3,100.0,100.0,3240.0,3240.0,522.0,522.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Rural ,Person,5.3,5.3,15.0,15.0,41.7,41.7,3.8,3.8,23.2,23.2,0.2,0.2,13.2,13.2,3.0,3.0,100.0,100.0,6077.0,6077.0,911.0,911.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Total,Female,4.3,4.3,16.7,16.7,40.3,40.3,3.8,3.8,21.6,21.6,0.4,0.4,13.7,13.7,3.7,3.7,100.0,100.0,3811.0,3811.0,672.0,672.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Total,Male,4.4,4.4,13.1,13.1,36.7,36.7,3.5,3.5,28.8,28.8,0.0,0.0,15.0,15.0,2.9,2.9,100.0,100.0,4404.0,4404.0,874.0,874.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Total,Person,4.4,4.4,14.8,14.8,38.4,38.4,3.6,3.6,25.4,25.4,0.2,0.2,14.4,14.4,3.3,3.3,100.0,100.0,8215.0,8215.0,1546.0,1546.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Urban ,Female,2.8,2.8,15.3,15.3,26.6,26.6,3.3,3.3,34.2,34.2,0.0,0.0,16.8,16.8,3.8,3.8,100.0,100.0,975.0,975.0,283.0,283.0
