Country,StateName,StateCode,DistrictName,DistrictCode,Year,D1139_4,I1139_5_sum,I1139_5_avg,I1139_6_sum,I1139_6_avg,I1139_7_sum,I1139_7_avg,I1139_8_sum,I1139_8_avg,I1139_9_sum,I1139_9_avg,I1139_10_sum,I1139_10_avg
India,Jammu And Kashmir,1,Kathua,7,"Calendar Year (Jan - Dec), 2017",Private,357.0,357.0,357.0,357.0,20.0,20.0,6.0,6.0,0.0,0.0,0.0,0.0
India,Jammu And Kashmir,1,Kathua,7,"Calendar Year (Jan - Dec), 2017",Public,879.0,879.0,879.0,879.0,606.0,606.0,69.0,69.0,0.0,0.0,0.0,0.0
India,Jammu And Kashmir,1,Kathua,7,"Calendar Year (Jan - Dec), 2018",Private,596.0,596.0,596.0,596.0,78.0,78.0,13.0,13.0,20.0,20.0,290.0,290.0
India,Jammu And Kashmir,1,Kathua,7,"Calendar Year (Jan - Dec), 2018",Public,897.0,897.0,897.0,897.0,1084.0,1084.0,121.0,121.0,606.0,606.0,79.0,79.0
India,Jammu And Kashmir,1,Kathua,7,"Calendar Year (Jan - Dec), 2019",Private,200.0,200.0,200.0,200.0,65.0,65.0,32.0,32.0,78.0,78.0,-17.0,-17.0
India,Jammu And Kashmir,1,Kathua,7,"Calendar Year (Jan - Dec), 2019",Public,690.0,690.0,690.0,690.0,929.0,929.0,135.0,135.0,1084.0,1084.0,-14.0,-14.0
India,Jammu And Kashmir,1,Kathua,7,"Calendar Year (Jan - Dec), 2020",Private,200.0,200.0,200.0,200.0,20.0,20.0,10.0,10.0,65.0,65.0,-69.0,-69.0
India,Jammu And Kashmir,1,Kathua,7,"Calendar Year (Jan - Dec), 2020",Public,730.0,730.0,730.0,730.0,816.0,816.0,112.0,112.0,929.0,929.0,-12.0,-12.0
India,Jammu And Kashmir,1,Kathua,7,"Calendar Year (Jan - Dec), 2021",Private,220.0,220.0,220.0,220.0,148.0,148.0,67.0,67.0,20.0,20.0,640.0,640.0
India,Jammu And Kashmir,1,Kathua,7,"Calendar Year (Jan - Dec), 2021",Public,810.0,810.0,810.0,810.0,829.0,829.0,102.0,102.0,816.0,816.0,2.0,2.0
India,Jammu And Kashmir,1,Kathua,7,"Calendar Year (Jan - Dec), 2022",Private,280.0,280.0,280.0,280.0,187.0,187.0,67.0,67.0,148.0,148.0,26.0,26.0
India,Jammu And Kashmir,1,Kathua,7,"Calendar Year (Jan - Dec), 2022",Public,1150.0,1150.0,1150.0,1150.0,936.0,936.0,81.0,81.0,829.0,829.0,13.0,13.0
India,Jammu And Kashmir,1,Kathua,7,"Calendar Year (Jan - Dec), 2023",Private,280.0,280.0,280.0,280.0,199.0,199.0,71.0,71.0,187.0,187.0,6.0,6.0
India,Jammu And Kashmir,1,Kathua,7,"Calendar Year (Jan - Dec), 2023",Public,1020.0,1020.0,1020.0,1020.0,985.0,985.0,97.0,97.0,936.0,936.0,5.0,5.0
India,Jammu And Kashmir,1,Kathua,7,"Calendar Year (Jan - Dec), 2024",Private,280.0,280.0,163.0,163.0,141.0,141.0,87.0,87.0,112.0,112.0,26.0,26.0
India,Jammu And Kashmir,1,Kathua,7,"Calendar Year (Jan - Dec), 2024",Public,1020.0,1020.0,595.0,595.0,647.0,647.0,109.0,109.0,633.0,633.0,2.0,2.0
India,Jammu And Kashmir,1,Kathua,7,"Calendar Year (Jan - Dec), 2025",Private,250.0,250.0,104.0,104.0,69.0,69.0,66.0,66.0,106.0,106.0,-35.0,-35.0
India,Jammu And Kashmir,1,Kathua,7,"Calendar Year (Jan - Dec), 2025",Public,950.0,950.0,395.0,395.0,358.0,358.0,91.0,91.0,463.0,463.0,-23.0,-23.0
India,Jammu And Kashmir,1,Kupwara,8,"Calendar Year (Jan - Dec), 2017",Private,481.0,481.0,481.0,481.0,9.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0
India,Jammu And Kashmir,1,Kupwara,8,"Calendar Year (Jan - Dec), 2017",Public,528.0,528.0,528.0,528.0,448.0,448.0,85.0,85.0,0.0,0.0,0.0,0.0
India,Jammu And Kashmir,1,Kupwara,8,"Calendar Year (Jan - Dec), 2018",Private,802.0,802.0,802.0,802.0,22.0,22.0,3.0,3.0,9.0,9.0,144.0,144.0
India,Jammu And Kashmir,1,Kupwara,8,"Calendar Year (Jan - Dec), 2018",Public,539.0,539.0,539.0,539.0,379.0,379.0,70.0,70.0,448.0,448.0,-15.0,-15.0
India,Jammu And Kashmir,1,Kupwara,8,"Calendar Year (Jan - Dec), 2019",Private,280.0,280.0,280.0,280.0,52.0,52.0,19.0,19.0,22.0,22.0,136.0,136.0
India,Jammu And Kashmir,1,Kupwara,8,"Calendar Year (Jan - Dec), 2019",Public,970.0,970.0,970.0,970.0,303.0,303.0,31.0,31.0,379.0,379.0,-20.0,-20.0
India,Jammu And Kashmir,1,Kupwara,8,"Calendar Year (Jan - Dec), 2020",Private,280.0,280.0,280.0,280.0,53.0,53.0,19.0,19.0,52.0,52.0,2.0,2.0
India,Jammu And Kashmir,1,Kupwara,8,"Calendar Year (Jan - Dec), 2020",Public,980.0,980.0,980.0,980.0,277.0,277.0,28.0,28.0,303.0,303.0,-9.0,-9.0
India,Jammu And Kashmir,1,Kupwara,8,"Calendar Year (Jan - Dec), 2021",Private,70.0,70.0,70.0,70.0,47.0,47.0,67.0,67.0,53.0,53.0,-11.0,-11.0
India,Jammu And Kashmir,1,Kupwara,8,"Calendar Year (Jan - Dec), 2021",Public,750.0,750.0,750.0,750.0,328.0,328.0,44.0,44.0,277.0,277.0,18.0,18.0
India,Jammu And Kashmir,1,Kupwara,8,"Calendar Year (Jan - Dec), 2022",Private,50.0,50.0,50.0,50.0,62.0,62.0,124.0,124.0,47.0,47.0,32.0,32.0
India,Jammu And Kashmir,1,Kupwara,8,"Calendar Year (Jan - Dec), 2022",Public,410.0,410.0,410.0,410.0,289.0,289.0,70.0,70.0,328.0,328.0,-12.0,-12.0
India,Jammu And Kashmir,1,Kupwara,8,"Calendar Year (Jan - Dec), 2023",Private,50.0,50.0,50.0,50.0,46.0,46.0,92.0,92.0,62.0,62.0,-26.0,-26.0
India,Jammu And Kashmir,1,Kupwara,8,"Calendar Year (Jan - Dec), 2023",Public,330.0,330.0,330.0,330.0,268.0,268.0,81.0,81.0,289.0,289.0,-7.0,-7.0
India,Jammu And Kashmir,1,Kupwara,8,"Calendar Year (Jan - Dec), 2024",Private,35.0,35.0,20.0,20.0,33.0,33.0,165.0,165.0,31.0,31.0,6.0,6.0
India,Jammu And Kashmir,1,Kupwara,8,"Calendar Year (Jan - Dec), 2024",Public,280.0,280.0,163.0,163.0,148.0,148.0,91.0,91.0,172.0,172.0,-14.0,-14.0
India,Jammu And Kashmir,1,Kupwara,8,"Calendar Year (Jan - Dec), 2025",Private,40.0,40.0,16.0,16.0,17.0,17.0,106.0,106.0,28.0,28.0,-39.0,-39.0
India,Jammu And Kashmir,1,Kupwara,8,"Calendar Year (Jan - Dec), 2025",Public,250.0,250.0,104.0,104.0,106.0,106.0,102.0,102.0,103.0,103.0,3.0,3.0
India,Jammu And Kashmir,1,Poonch,10,"Calendar Year (Jan - Dec), 2017",Private,126.0,126.0,126.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
