Country,StateName,StateCode,Year,I7035_4_sum,I7035_4_avg,I7035_5_sum,I7035_5_avg,I7035_6_sum,I7035_6_avg,I7035_7_sum,I7035_7_avg,I7035_8_sum,I7035_8_avg,I7035_9_sum,I7035_9_avg,I7035_10_sum,I7035_10_avg
India,Andaman and Nicobar Islands,35,"Financial Year (Apr - Mar), 2016",123.0,41.0,22.0,7.333333333333333,4.0,1.3333333333333333,0.0,,0.0,,0.0,0.0,3.0,1.0
India,Andaman and Nicobar Islands,35,"Financial Year (Apr - Mar), 2017",123.0,41.0,22.0,7.333333333333333,4.0,1.3333333333333333,0.0,,0.0,,0.0,,3.0,1.0
India,Andaman and Nicobar Islands,35,"Financial Year (Apr - Mar), 2018",96.0,32.0,22.0,7.333333333333333,4.0,1.3333333333333333,28.0,9.333333333333334,2.0,0.6666666666666666,0.0,0.0,3.0,1.0
India,Andaman and Nicobar Islands,35,"Financial Year (Apr - Mar), 2019",5183.0,1295.75,865.0,216.25,193.0,48.25,0.0,,0.0,,2.0,0.5,41.0,10.25
India,Andaman and Nicobar Islands,35,"Financial Year (Apr - Mar), 2020",124.0,41.333333333333336,27.0,9.0,4.0,1.3333333333333333,0.0,,0.0,,0.0,0.0,3.0,1.0
India,Andaman and Nicobar Islands,35,"Financial Year (Apr - Mar), 2021",124.0,41.333333333333336,27.0,9.0,4.0,1.3333333333333333,0.0,,0.0,,0.0,0.0,2.0,0.6666666666666666
India,Andhra Pradesh,28,"Financial Year (Apr - Mar), 2016",7458.0,573.6923076923077,1147.0,88.23076923076923,193.0,14.846153846153847,0.0,,0.0,,31.0,2.3846153846153846,8.0,0.6153846153846154
India,Andhra Pradesh,28,"Financial Year (Apr - Mar), 2017",7458.0,573.6923076923077,1147.0,88.23076923076923,193.0,14.846153846153847,0.0,,0.0,,31.0,2.3846153846153846,8.0,0.6153846153846154
India,Andhra Pradesh,28,"Financial Year (Apr - Mar), 2018",6846.0,526.6153846153846,121.0,9.307692307692308,195.0,15.0,612.0,47.07692307692308,1388.0,106.76923076923077,28.0,2.1538461538461537,14.0,1.0769230769230769
India,Andhra Pradesh,28,"Financial Year (Apr - Mar), 2019",7458.0,573.6923076923077,1385.0,106.53846153846153,198.0,15.23076923076923,0.0,,0.0,,28.0,2.1538461538461537,13.0,1.0
India,Andhra Pradesh,28,"Financial Year (Apr - Mar), 2020",7458.0,573.6923076923077,1401.0,107.76923076923077,198.0,15.23076923076923,0.0,,0.0,,28.0,2.1538461538461537,14.0,1.0769230769230769
India,Andhra Pradesh,28,"Financial Year (Apr - Mar), 2021",11480.0,883.0769230769231,1689.0,129.92307692307693,181.0,13.923076923076923,0.0,,0.0,,51.0,3.923076923076923,17.0,1.3076923076923077
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2016",580.0,29.0,143.0,7.15,63.0,3.15,0.0,,0.0,,0.0,0.0,18.0,0.9
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2017",312.0,15.6,143.0,7.15,63.0,3.15,0.0,,0.0,,0.0,0.0,18.0,0.9
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2018",307.0,13.954545454545455,105.0,4.7727272727272725,63.0,2.8636363636363638,96.0,4.363636363636363,43.0,1.9545454545454546,0.0,0.0,17.0,0.7727272727272727
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2019",363.0,18.15,124.0,6.2,60.0,3.0,0.0,,0.0,,0.0,0.0,17.0,0.85
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2020",347.0,13.88,127.0,5.08,57.0,2.28,0.0,,0.0,,0.0,0.0,19.0,0.76
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2021",367.0,14.68,131.0,5.24,57.0,2.28,0.0,,0.0,,0.0,0.0,19.0,0.76
India,Assam,18,"Financial Year (Apr - Mar), 2016",4621.0,171.14814814814815,1014.0,37.55555555555556,158.0,5.851851851851852,0.0,,0.0,,14.0,0.5185185185185185,25.0,0.9259259259259259
India,Assam,18,"Financial Year (Apr - Mar), 2017",4644.0,172.0,946.0,35.03703703703704,172.0,6.37037037037037,0.0,,0.0,,14.0,0.5185185185185185,25.0,0.9259259259259259
India,Assam,18,"Financial Year (Apr - Mar), 2018",3850.0,148.07692307692307,679.0,26.115384615384617,173.0,6.653846153846154,581.0,22.346153846153847,278.0,10.692307692307692,12.0,0.46153846153846156,24.0,0.9230769230769231
India,Assam,18,"Financial Year (Apr - Mar), 2019",4535.0,174.42307692307693,960.0,36.92307692307692,184.0,7.076923076923077,0.0,,0.0,,12.0,0.46153846153846156,24.0,0.9230769230769231
India,Assam,18,"Financial Year (Apr - Mar), 2020",4491.0,140.34375,967.0,30.21875,192.0,6.0,0.0,,0.0,,13.0,0.40625,23.0,0.71875
India,Assam,18,"Financial Year (Apr - Mar), 2021",4509.0,140.90625,976.0,30.5,194.0,6.0625,0.0,,0.0,,13.0,0.40625,24.0,0.75
India,Bihar,10,"Financial Year (Apr - Mar), 2016",9949.0,261.8157894736842,1899.0,49.973684210526315,150.0,3.9473684210526314,0.0,,0.0,,55.0,1.4473684210526316,38.0,1.0
