Country,StateName,StateCode,Year,Number_of_tuberculosistb_patients_notified_sum,Number_of_tuberculosistb_patients_notified_avg,Number_tuberculosistb_cases_confirmed_bacteriologically_sum,Number_tuberculosistb_cases_confirmed_bacteriologically_avg,Number_of_patients_cured_from_tuberculosistb_sum,Number_of_patients_cured_from_tuberculosistb_avg,Percentage_of_patients_cured_from_tuberculosistb_sum,Percentage_of_patients_cured_from_tuberculosistb_avg,Number_of_successful_treatments_for_tuberculosistb_sum,Number_of_successful_treatments_for_tuberculosistb_avg,Percentage_of_successful_treatments_for_tuberculosistb_sum,Percentage_of_successful_treatments_for_tuberculosistb_avg,Number_of_patients_died_due_to_tuberculosistb_sum,Number_of_patients_died_due_to_tuberculosistb_avg,Percentage_of_deaths_due_to_tuberculosistb_sum,Percentage_of_deaths_due_to_tuberculosistb_avg,Number_of_failed_treatments_for_tuberculosistb_sum,Number_of_failed_treatments_for_tuberculosistb_avg,Percentage_of_failed_treatments_for_tuberculosistb_sum,Percentage_of_failed_treatments_for_tuberculosistb_avg,Number_of_tuberculosistb_cases_lost_to_followup_sum,Number_of_tuberculosistb_cases_lost_to_followup_avg,Percentage_of_tuberculosistb_cases_lost_to_followup_sum,Percentage_of_tuberculosistb_cases_lost_to_followup_avg,Number_of_regimen_change_in_tuberculosistb_cases_sum,Number_of_regimen_change_in_tuberculosistb_cases_avg,Percentage_of_regimen_change_in_tuberculosistb_cases_sum,Percentage_of_regimen_change_in_tuberculosistb_cases_avg,Number_of_tuberculosistb_cases_not_evaluated_sum,Number_of_tuberculosistb_cases_not_evaluated_avg,Percentage_of_tuberculosistb_cases_not_evaluated_sum,Percentage_of_tuberculosistb_cases_not_evaluated_avg,Others_sum,Others_avg
India,Telangana,36,"Calendar Year (Jan - Dec), 2017",7766.0,7766.0,,,,,,,7290.0,7290.0,94.0,94.0,41.0,41.0,1.0,1.0,,,,,,,,,,,,,164.0,164.0,,,271.0,271.0
India,Telangana,36,"Calendar Year (Jan - Dec), 2018",10311.0,10311.0,,,,,,,9369.0,9369.0,91.0,91.0,158.0,158.0,2.0,2.0,23.0,23.0,0.0,0.0,99.0,99.0,1.0,1.0,13.0,13.0,0.0,0.0,649.0,649.0,6.0,6.0,,
India,Telangana,36,"Calendar Year (Jan - Dec), 2019",21751.0,21751.0,7922.0,7922.0,3718.0,3718.0,47.0,47.0,20267.0,20267.0,93.0,93.0,544.0,544.0,2.5,2.5,56.0,56.0,0.3,0.3,98.0,98.0,0.5,0.5,35.0,35.0,0.2,0.2,751.0,751.0,3.5,3.5,,
India,Telangana,36,"Calendar Year (Jan - Dec), 2020",21461.0,21461.0,6340.0,6340.0,4360.0,4360.0,69.0,69.0,19745.0,19745.0,92.0,92.0,518.0,518.0,2.4,2.4,61.0,61.0,0.3,0.3,130.0,130.0,0.6,0.6,123.0,123.0,0.6,0.6,522.0,522.0,2.4,2.4,,
India,Telangana,36,"Calendar Year (Jan - Dec), 2021",16793.0,16793.0,,,3515.0,3515.0,20.9,20.9,15538.0,15538.0,92.5,92.5,419.0,419.0,2.5,2.5,59.0,59.0,0.4,0.4,112.0,112.0,0.7,0.7,77.0,77.0,0.5,0.5,139.0,139.0,0.8,0.8,,
India,Telangana,36,"Calendar Year (Jan - Dec), 2022",18530.0,18530.0,,,4595.0,4595.0,24.8,24.8,17367.0,17367.0,93.7,93.7,231.0,231.0,1.2,1.2,55.0,55.0,0.3,0.3,39.0,39.0,0.2,0.2,110.0,110.0,0.6,0.6,265.0,265.0,1.4,1.4,,
India,Ladakh,37,"Calendar Year (Jan - Dec), 2017",24.0604539461,24.0604539461,,,,,,,2.6029036542,2.6029036542,11.0,11.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,21.3044383122,21.3044383122,,,0.1531119797,0.1531119797
India,Ladakh,37,"Calendar Year (Jan - Dec), 2018",20.0139230551,20.0139230551,,,,,,,12.9926451309,12.9926451309,65.0,65.0,0.0656194199,0.0656194199,0.0,0.0,0.0437462799,0.0437462799,0.0,0.0,0.2624776794,0.2624776794,1.0,1.0,0.02187314,0.02187314,0.0,0.0,6.6275614051,6.6275614051,33.0,33.0,,
India,Ladakh,37,"Calendar Year (Jan - Dec), 2019",45.0,45.0,7.0,7.0,4.0,4.0,57.0,57.0,44.0,44.0,98.0,98.0,1.0,1.0,2.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
India,Ladakh,37,"Calendar Year (Jan - Dec), 2020",17.0,17.0,5.0,5.0,5.0,5.0,100.0,100.0,17.0,17.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
India,Ladakh,37,"Calendar Year (Jan - Dec), 2021",25.0,25.0,,,4.0,4.0,16.0,16.0,21.0,21.0,84.0,84.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,,
India,Ladakh,37,"Calendar Year (Jan - Dec), 2022",11.0,11.0,,,1.0,1.0,9.1,9.1,8.0,8.0,72.7,72.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.1,9.1,0.0,0.0,0.0,0.0,,
India,The Dadra and Nagar Haveli and Daman and Diu,38,"Calendar Year (Jan - Dec), 2017",146.0,146.0,,,,,,,136.0,136.0,93.0,93.0,1.0,1.0,0.3693154895,0.3693154895,,,,,,,,,,,,,4.0,4.0,,,5.0,5.0
India,The Dadra and Nagar Haveli and Daman and Diu,38,"Calendar Year (Jan - Dec), 2018",91.0,91.0,,,,,,,89.0,89.0,97.3693154895,97.3693154895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.8920535316,1.8920535316,0.0,0.0,0.0,0.0,1.0,1.0,0.7386309789,0.7386309789,,
India,The Dadra and Nagar Haveli and Daman and Diu,38,"Calendar Year (Jan - Dec), 2019",157.0,157.0,6.0,6.0,0.0,0.0,0.0,0.0,152.0,152.0,97.0,97.0,2.0,2.0,1.3,1.3,0.0,0.0,0.0,0.0,2.0,2.0,1.3,1.3,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.6,,
India,The Dadra and Nagar Haveli and Daman and Diu,38,"Calendar Year (Jan - Dec), 2020",74.0,74.0,8.0,8.0,6.0,6.0,75.0,75.0,70.0,70.0,95.0,95.0,1.0,1.0,1.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.4,1.4,1.0,1.0,1.4,1.4,,
India,The Dadra and Nagar Haveli and Daman and Diu,38,"Calendar Year (Jan - Dec), 2021",49.0,49.0,,,5.0,5.0,10.2,10.2,48.0,48.0,98.0,98.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
India,The Dadra and Nagar Haveli and Daman and Diu,38,"Calendar Year (Jan - Dec), 2022",74.0,74.0,,,4.0,4.0,5.4,5.4,73.0,73.0,98.6,98.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
