Country,StateName,StateCode,Year,I1278_3_sum,I1278_3_avg,I1278_4_sum,I1278_4_avg,I1278_5_sum,I1278_5_avg,I1278_6_sum,I1278_6_avg,I1278_7_sum,I1278_7_avg,I1278_8_sum,I1278_8_avg,I1278_9_sum,I1278_9_avg,I1278_10_sum,I1278_10_avg,I1278_11_sum,I1278_11_avg,I1278_12_sum,I1278_12_avg,I1278_13_sum,I1278_13_avg,I1278_14_sum,I1278_14_avg,I1278_15_sum,I1278_15_avg,I1278_16_sum,I1278_16_avg,I1278_17_sum,I1278_17_avg,I1278_18_sum,I1278_18_avg
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2020",133460.0,133460.0,37501.0,37501.0,109972.0,109972.0,4616.0,4616.0,5375.0,5375.0,756.0,756.0,1539.0,1539.0,2348.0,2348.0,61.0,61.0,82.0,82.0,3.5,3.5,4.0,4.0,0.6,0.6,1.2,1.2,1.8,1.8,61688.0,61688.0
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2021",147937.0,147937.0,38339.0,38339.0,126018.0,126018.0,4852.0,4852.0,5070.0,5070.0,798.0,798.0,1646.0,1646.0,1514.0,1514.0,25.9,25.9,85.2,85.2,3.3,3.3,3.4,3.4,0.5,0.5,1.1,1.1,1.0,1.0,,
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2022",166554.0,166554.0,48268.0,48268.0,147786.0,147786.0,4571.0,4571.0,3932.0,3932.0,953.0,953.0,1455.0,1455.0,345.0,345.0,29.0,29.0,88.7,88.7,2.7,2.7,2.4,2.4,0.6,0.6,0.9,0.9,0.2,0.2,,
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2018",406312.0,406312.0,115935.0,115935.0,320703.0,320703.0,13424.0,13424.0,21025.0,21025.0,2779.0,2779.0,2820.0,2820.0,45561.0,45561.0,62.0,62.0,79.0,79.0,3.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,11.0,11.0,185658.0,185658.0
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2019",486310.0,486310.0,113119.0,113119.0,401680.0,401680.0,18409.0,18409.0,21627.0,21627.0,3287.0,3287.0,5427.0,5427.0,35880.0,35880.0,56.0,56.0,83.0,83.0,3.8,3.8,4.4,4.4,0.7,0.7,1.1,1.1,7.4,7.4,201311.0,201311.0
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2020",363664.0,363664.0,75880.0,75880.0,303785.0,303785.0,14913.0,14913.0,11880.0,11880.0,2049.0,2049.0,4967.0,4967.0,4223.0,4223.0,58.0,58.0,84.0,84.0,4.1,4.1,3.3,3.3,0.6,0.6,1.4,1.4,1.2,1.2,131799.0,131799.0
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2021",453494.0,453494.0,104439.0,104439.0,391143.0,391143.0,16500.0,16500.0,11327.0,11327.0,2274.0,2274.0,6017.0,6017.0,2707.0,2707.0,23.0,23.0,86.3,86.3,3.6,3.6,2.5,2.5,0.5,0.5,1.3,1.3,0.6,0.6,,
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2022",523101.0,523101.0,127299.0,127299.0,468159.0,468159.0,15178.0,15178.0,7247.0,7247.0,2239.0,2239.0,6221.0,6221.0,1470.0,1470.0,24.3,24.3,89.5,89.5,2.9,2.9,1.4,1.4,0.4,0.4,1.2,1.2,0.3,0.3,,
India,Bihar,10,"Calendar Year (Jan - Dec), 2018",106189.0,106189.0,27131.0,27131.0,78116.0,78116.0,2577.0,2577.0,5022.0,5022.0,577.0,577.0,553.0,553.0,19344.0,19344.0,63.0,63.0,74.0,74.0,2.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,18.0,18.0,43139.0,43139.0
India,Bihar,10,"Calendar Year (Jan - Dec), 2019",123027.0,123027.0,29189.0,29189.0,93872.0,93872.0,2975.0,2975.0,4134.0,4134.0,624.0,624.0,805.0,805.0,20617.0,20617.0,56.0,56.0,76.0,76.0,2.4,2.4,3.4,3.4,0.5,0.5,0.7,0.7,16.8,16.8,52187.0,52187.0
India,Bihar,10,"Calendar Year (Jan - Dec), 2020",99731.0,99731.0,14429.0,14429.0,77503.0,77503.0,3341.0,3341.0,3751.0,3751.0,516.0,516.0,1068.0,1068.0,6743.0,6743.0,41.0,41.0,78.0,78.0,3.4,3.4,3.8,3.8,0.5,0.5,1.1,1.1,6.8,6.8,34789.0,34789.0
India,Bihar,10,"Calendar Year (Jan - Dec), 2021",133418.0,133418.0,16221.0,16221.0,109250.0,109250.0,4881.0,4881.0,5156.0,5156.0,610.0,610.0,1271.0,1271.0,3810.0,3810.0,12.2,12.2,81.9,81.9,3.7,3.7,3.9,3.9,0.5,0.5,1.0,1.0,2.9,2.9,,
India,Bihar,10,"Calendar Year (Jan - Dec), 2022",163263.0,163263.0,20531.0,20531.0,136979.0,136979.0,5158.0,5158.0,7389.0,7389.0,783.0,783.0,1714.0,1714.0,1386.0,1386.0,12.6,12.6,83.9,83.9,3.2,3.2,4.5,4.5,0.5,0.5,1.0,1.0,0.8,0.8,,
India,Sikkim,11,"Calendar Year (Jan - Dec), 2018",1340.0,1340.0,419.0,419.0,1133.0,1133.0,32.0,32.0,6.0,6.0,6.0,6.0,13.0,13.0,150.0,150.0,58.0,58.0,85.0,85.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,11.0,722.0,722.0
India,Sikkim,11,"Calendar Year (Jan - Dec), 2019",1229.0,1229.0,461.0,461.0,1089.0,1089.0,45.0,45.0,10.0,10.0,8.0,8.0,11.0,11.0,66.0,66.0,72.0,72.0,89.0,89.0,3.7,3.7,0.8,0.8,0.7,0.7,0.9,0.9,5.4,5.4,636.0,636.0
India,Sikkim,11,"Calendar Year (Jan - Dec), 2020",1139.0,1139.0,449.0,449.0,1022.0,1022.0,45.0,45.0,9.0,9.0,1.0,1.0,19.0,19.0,15.0,15.0,67.0,67.0,90.0,90.0,4.0,4.0,0.8,0.8,0.1,0.1,1.7,1.7,1.3,1.3,670.0,670.0
