Country,StateName,StateCode,Year,TRU,D7298_3,D7298_4,Average_out_of_pocket_medical_expenditure_per_hospitalisation_case_for_treatment_during_stay_at_hospital_sum,Average_out_of_pocket_medical_expenditure_per_hospitalisation_case_for_treatment_during_stay_at_hospital_avg,Estimated_number_of_hospitalisation_cases_sum,Estimated_number_of_hospitalisation_cases_avg,Sample_number_of_hospitalisation_cases_sum,Sample_number_of_hospitalisation_cases_avg
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Total,Female,Govt./Public,8774.0,8774.0,7832.0,7832.0,2116.0,2116.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Total,Female,Private,34097.0,34097.0,7832.0,7832.0,2116.0,2116.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Total,Female,all (incl.n.r),26308.0,26308.0,7832.0,7832.0,2116.0,2116.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Total,Male,Charitable/NGO/trust run,28009.0,28009.0,7832.0,7832.0,2116.0,2116.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Total,Male,Govt./Public,11585.0,11585.0,7832.0,7832.0,2116.0,2116.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Total,Male,Private,40059.0,40059.0,7832.0,7832.0,2116.0,2116.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Total,Male,all (incl.n.r),30581.0,30581.0,7832.0,7832.0,2116.0,2116.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Total,Person,Charitable/NGO/trust run,23623.0,23623.0,7832.0,7832.0,2116.0,2116.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Total,Person,Govt./Public,10052.0,10052.0,7832.0,7832.0,2116.0,2116.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Total,Person,Private,36592.0,36592.0,7832.0,7832.0,2116.0,2116.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Total,Person,all (incl.n.r),28177.0,28177.0,7832.0,7832.0,2116.0,2116.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Charitable/NGO/trust run,39298.0,39298.0,2969.0,2969.0,1044.0,1044.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Govt./Public,7423.0,7423.0,2969.0,2969.0,1044.0,1044.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Private,30828.0,30828.0,2969.0,2969.0,1044.0,1044.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Urban,Female,all (incl.n.r),23882.0,23882.0,2969.0,2969.0,1044.0,1044.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Charitable/NGO/trust run,18568.0,18568.0,2969.0,2969.0,1044.0,1044.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Govt./Public,12737.0,12737.0,2969.0,2969.0,1044.0,1044.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Private,33303.0,33303.0,2969.0,2969.0,1044.0,1044.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Urban,Male,all (incl.n.r),27130.0,27130.0,2969.0,2969.0,1044.0,1044.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Urban,Person,Charitable/NGO/trust run,28830.0,28830.0,2969.0,2969.0,1044.0,1044.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Urban,Person,Govt./Public,9903.0,9903.0,2969.0,2969.0,1044.0,1044.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Urban,Person,Private,32061.0,32061.0,2969.0,2969.0,1044.0,1044.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Urban,Person,all (incl.n.r),25471.0,25471.0,2969.0,2969.0,1044.0,1044.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Charitable/NGO/trust run,11850.0,11850.0,2.0,2.0,36.0,36.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Govt./Public,4267.0,4267.0,2.0,2.0,36.0,36.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Private,18578.0,18578.0,2.0,2.0,36.0,36.0
