Country,StateName,StateCode,Year,I1201_3_sum,I1201_3_avg,I1201_4_sum,I1201_4_avg,I1201_5_sum,I1201_5_avg,I1201_6_sum,I1201_6_avg,I1201_7_sum,I1201_7_avg,I1201_8_sum,I1201_8_avg,I1201_9_sum,I1201_9_avg,I1201_10_sum,I1201_10_avg,I1201_11_sum,I1201_11_avg
India,Tripura,16,"Calendar Year (Jan - Dec), 2023",40.53,40.53,119744.0,119744.0,12031.0,12031.0,3017.0,3017.0,15048.0,15048.0,134792.0,134792.0,3326.0,3326.0,94.0,94.0,7.0,7.0
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2018",35.05055,35.05055,,,,,,,33392.0,33392.0,953.0,953.0,,,,,,
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2019",35.9,35.9,25596.0,25596.0,,,,,34747.0,34747.0,968.0,968.0,,,,,9151.0,9151.0
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2020",36.6,36.6,14717.0,14717.0,,,,,21445.0,21445.0,586.0,586.0,,,,,6728.0,6728.0
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2021",37.0,37.0,15747.0,15747.0,6595.0,6595.0,1479.0,1479.0,23821.0,23821.0,637.0,637.0,12.0,12.0,6.0,6.0,,
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2022",38.05,38.05,15142.0,15142.0,10588.0,10588.0,25621.0,25621.0,51351.0,51351.0,1350.0,1350.0,17.0,17.0,11.0,11.0,,
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2023",38.93,38.93,10293.0,10293.0,12995.0,12995.0,30477.0,30477.0,43472.0,43472.0,53765.0,53765.0,1381.0,1381.0,23.0,23.0,13.0,13.0
India,Assam,18,"Calendar Year (Jan - Dec), 2018",341.83941,341.83941,,,,,,,185660.0,185660.0,543.0,543.0,,,,,,
India,Assam,18,"Calendar Year (Jan - Dec), 2019",346.2,346.2,169824.0,169824.0,,,,,207598.0,207598.0,600.0,600.0,,,,,37774.0,37774.0
India,Assam,18,"Calendar Year (Jan - Dec), 2020",350.5,350.5,94446.0,94446.0,,,,,124025.0,124025.0,354.0,354.0,,,,,29579.0,29579.0
India,Assam,18,"Calendar Year (Jan - Dec), 2021",355.0,355.0,110846.0,110846.0,13317.0,13317.0,1915.0,1915.0,126078.0,126078.0,355.0,355.0,9.0,9.0,4.0,4.0,,
