Country,StateName,StateCode,Year,I1279_3_sum,I1279_3_avg,I1279_4_sum,I1279_4_avg,I1279_11_sum,I1279_11_avg,I1279_5_sum,I1279_5_avg,I1279_12_sum,I1279_12_avg,I1279_6_sum,I1279_6_avg,I1279_13_sum,I1279_13_avg,I1279_7_sum,I1279_7_avg,I1279_14_sum,I1279_14_avg,I1279_8_sum,I1279_8_avg,I1279_15_sum,I1279_15_avg,I1279_9_sum,I1279_9_avg,I1279_16_sum,I1279_16_avg,I1279_10_sum,I1279_10_avg,I1279_17_sum,I1279_17_avg,I1279_18_sum,I1279_18_avg
India,Nagaland,13,"Calendar Year (Jan - Dec), 2019",3473.0,3473.0,1309.0,1309.0,75.0,75.0,2947.0,2947.0,85.0,85.0,65.0,65.0,1.9,1.9,117.0,117.0,3.4,3.4,21.0,21.0,0.6,0.6,15.0,15.0,0.4,0.4,308.0,308.0,8.9,8.9,1756.0,1756.0
India,Nagaland,13,"Calendar Year (Jan - Dec), 2020",2478.0,2478.0,1033.0,1033.0,77.0,77.0,2006.0,2006.0,81.0,81.0,66.0,66.0,2.7,2.7,56.0,56.0,2.3,2.3,22.0,22.0,0.9,0.9,21.0,21.0,0.8,0.8,242.0,242.0,9.8,9.8,1338.0,1338.0
India,Nagaland,13,"Calendar Year (Jan - Dec), 2021",2714.0,2714.0,1211.0,1211.0,44.6,44.6,2336.0,2336.0,86.1,86.1,76.0,76.0,2.8,2.8,72.0,72.0,2.7,2.7,32.0,32.0,1.2,1.2,11.0,11.0,0.4,0.4,114.0,114.0,4.2,4.2,,
India,Nagaland,13,"Calendar Year (Jan - Dec), 2022",3262.0,3262.0,1359.0,1359.0,41.7,41.7,2903.0,2903.0,89.0,89.0,81.0,81.0,2.5,2.5,162.0,162.0,5.0,5.0,19.0,19.0,0.6,0.6,27.0,27.0,0.8,0.8,35.0,35.0,1.1,1.1,,
India,Manipur,14,"Calendar Year (Jan - Dec), 2017",1430.0,1430.0,480.0,480.0,34.0,34.0,998.0,998.0,70.0,70.0,29.0,29.0,2.0,2.0,50.0,50.0,3.0,3.0,6.0,6.0,0.0,0.0,10.0,10.0,1.0,1.0,337.0,337.0,,,,
India,Manipur,14,"Calendar Year (Jan - Dec), 2018",1919.0,1919.0,583.0,583.0,64.0,64.0,1534.0,1534.0,80.0,80.0,49.0,49.0,3.0,3.0,51.0,51.0,3.0,3.0,7.0,7.0,0.0,0.0,11.0,11.0,1.0,1.0,267.0,267.0,14.0,14.0,910.0,910.0
India,Manipur,14,"Calendar Year (Jan - Dec), 2019",2020.0,2020.0,633.0,633.0,58.0,58.0,1409.0,1409.0,70.0,70.0,60.0,60.0,3.0,3.0,47.0,47.0,2.3,2.3,5.0,5.0,0.2,0.2,30.0,30.0,1.5,1.5,469.0,469.0,23.2,23.2,1095.0,1095.0
India,Manipur,14,"Calendar Year (Jan - Dec), 2020",1245.0,1245.0,447.0,447.0,67.0,67.0,1011.0,1011.0,81.0,81.0,42.0,42.0,3.4,3.4,37.0,37.0,3.0,3.0,5.0,5.0,0.4,0.4,14.0,14.0,1.1,1.1,68.0,68.0,5.5,5.5,669.0,669.0
India,Manipur,14,"Calendar Year (Jan - Dec), 2021",1456.0,1456.0,665.0,665.0,45.7,45.7,1175.0,1175.0,80.7,80.7,63.0,63.0,4.3,4.3,50.0,50.0,3.4,3.4,6.0,6.0,0.4,0.4,37.0,37.0,2.5,2.5,39.0,39.0,2.7,2.7,,
India,Manipur,14,"Calendar Year (Jan - Dec), 2022",1971.0,1971.0,857.0,857.0,43.5,43.5,1572.0,1572.0,79.8,79.8,74.0,74.0,3.8,3.8,92.0,92.0,4.7,4.7,7.0,7.0,0.4,0.4,21.0,21.0,1.1,1.1,24.0,24.0,1.2,1.2,,
