StateCode,StateName,Year,lab_tech_fill_rate,phc_doctor_fill_rate,chc_specialist_fill_rate,anm_fill_rate,pharmacist_fill_rate
14,Manipur,2022,0.13740458015267176,0.10204081632653061,0.4375,0.1307609860664523,0.012121212121212121
15,Mizoram,2019,,,,,
15,Mizoram,2020,,,,,
15,Mizoram,2021,,,,,
15,Mizoram,2022,,,,,
16,Tripura,2019,,,,,
16,Tripura,2020,,,,,
16,Tripura,2021,,,,,
16,Tripura,2022,,,,,
17,Meghalaya,2019,,,,,
17,Meghalaya,2020,0.0,0.0,0.2,0.0,0.0
17,Meghalaya,2021,0.0,0.07428571428571429,0.0,0.0,0.0
17,Meghalaya,2022,,0.03932584269662921,0.0,,
18,Assam,2019,,,,,
18,Assam,2020,0.0,0.0,0.0,0.0,0.0
18,Assam,2021,0.08686288585786073,0.17531305903398928,0.42,0.04882340004398505,0.037089871611982884
18,Assam,2022,,0.14594928880643165,0.3295880149812734,,
19,West Bengal,2019,0.15135135135135136,0.3891402714932127,0.8763066202090593,0.03195067264573991,0.08554763447828904
19,West Bengal,2020,0.34877384196185285,0.21007194244604316,0.5492264416315049,0.03363135461066639,0.057456423499031635
19,West Bengal,2021,0.4085808580858086,0.3770384866275277,0.7957317073170732,0.10889194229070566,0.14320388349514562
19,West Bengal,2022,0.3706484641638225,0.3660598179453836,0.6643598615916955,0.11805980954502422,0.1431238332296204
20,Jharkhand,2019,0.5875,0.4962518740629685,0.9057142857142857,0.2985471886436731,0.3788659793814433
20,Jharkhand,2020,0.3321100917431193,0.32727272727272727,0.471976401179941,0.061817046518888544,0.41687979539641945
20,Jharkhand,2021,0.36254295532646047,0.044673539518900345,0.7280701754385965,0.373640976081179,0.512987012987013
20,Jharkhand,2022,0.35223367697594504,0.020618556701030927,0.6973684210526315,0.5029048656499637,0.5043290043290043
21,Odisha,2019,0.0,0.39598811292719166,0.8456507521255723,0.0,0.03891891891891892
21,Odisha,2020,0.0,0.3579192546583851,0.7887989203778677,0.0,0.09314775160599571
21,Odisha,2021,0.19866284622731614,0.304282494365139,0.7954996690933157,0.10814309249235114,0.16821515892420538
21,Odisha,2022,0.19282511210762332,0.25731432858214554,0.7976190476190477,0.11204369837463363,0.16610978520286396
22,Chhattisgarh,2019,0.26608695652173914,0.5946969696969697,0.9090909090909091,0.0,0.10923623445825932
22,Chhattisgarh,2020,0.189,0.5215782983970407,0.8932874354561101,0.07150697820291674,0.12326227988878591
22,Chhattisgarh,2021,0.1405312767780634,0.4302059496567506,0.8283828382838284,0.0,0.2290292177191329
22,Chhattisgarh,2022,0.2617342879872713,0.4922440537745605,0.8928571428571429,0.19564867042707493,0.29432943294329433
23,Madhya Pradesh,2019,0.0,0.4797430830039526,0.9158576051779935,0.18735395189003437,0.22303370786516855
