StateCode,StateName,Year,state_category,success_rate,ltfu_rate,death_rate,lab_tech_fill_rate,phc_doctor_fill_rate,anm_fill_rate,chc_specialist_fill_rate,oop_per_hospitalisation,barrier_financial_pct,barrier_distance_pct,tb_dm_coinfected_pct,drtb_pct,stunting_pct,improved_sanitation_pct,health_insurance_coverage_pct,notification_achievement_rate,presumptive_examination_rate
20,Jharkhand,2019,EAG+1 States,77.0,2.8,2.3,0.5875,0.4962518740629685,0.2985471886436731,0.9057142857142856,19057.0,90.0,800.0,,,34.55,63.35,47.35,0.9337166666666666,681.0
20,Jharkhand,2020,,83.0,5.2,3.4,0.3321100917431193,0.3272727272727272,0.0618170465188885,0.471976401179941,19057.0,90.0,800.0,,,34.55,63.35,47.35,0.7016,481.0
20,Jharkhand,2021,,86.5,4.8,3.5,0.3625429553264604,0.0446735395189003,0.373640976081179,0.7280701754385965,19057.0,90.0,800.0,5.0,,34.55,63.35,47.35,0.8039384615384615,504.0
20,Jharkhand,2022,,89.2,2.2,2.6,0.352233676975945,0.0206185567010309,0.5029048656499637,0.6973684210526315,19057.0,90.0,800.0,5.0,1.5,34.55,63.35,47.35,0.8188285714285715,898.0
21,Odisha,2019,EAG+1 States,87.0,2.2,5.2,0.0,0.3959881129271916,0.0,0.8456507521255723,11476.0,30.0,310.0,,,28.45,65.15,40.6,0.6381686746987952,904.0
21,Odisha,2020,,89.0,1.3,5.6,0.0,0.3579192546583851,0.0,0.7887989203778677,11476.0,30.0,310.0,,,28.45,65.15,40.6,0.6976307692307693,1264.0
21,Odisha,2021,,89.7,1.0,5.7,0.1986628462273161,0.304282494365139,0.1081430924923511,0.7954996690933157,11476.0,30.0,310.0,8.0,,28.45,65.15,40.6,0.7998461538461539,1867.0
21,Odisha,2022,,91.0,0.8,4.4,0.1928251121076233,0.2573143285821455,0.1120436983746336,0.7976190476190477,11476.0,30.0,310.0,8.0,0.9,28.45,65.15,40.6,0.9271076923076924,2590.0
22,Chhattisgarh,2019,EAG+1 States,84.0,1.9,3.7,0.2660869565217391,0.5946969696969697,0.0,0.9090909090909092,22896.0,310.0,670.0,,,32.85,80.85,70.44999999999999,0.8036603773584906,1021.0
22,Chhattisgarh,2020,,86.0,2.4,4.7,0.189,0.5215782983970407,0.0715069782029167,0.8932874354561101,22896.0,310.0,670.0,,,32.85,80.85,70.44999999999999,0.5195090909090909,585.0
22,Chhattisgarh,2021,,85.9,1.9,5.7,0.1405312767780634,0.4302059496567506,0.0,0.8283828382838284,22896.0,310.0,670.0,8.0,,32.85,80.85,70.44999999999999,0.5764545454545454,703.0
