StateCode,StateName,DistrictCode,DistrictName,Year,phc_count,chc_count,sc_count,dh_count
3,Punjab,32,Gurdaspur,2017,31.0,13.0,222.0,1.0
3,Punjab,32,Gurdaspur,2018,9.0,13.0,205.0,1.0
3,Punjab,32,Gurdaspur,2020,33.0,13.0,222.0,1.0
3,Punjab,32,Gurdaspur,2021,33.0,13.0,222.0,1.0
3,Punjab,33,Hoshiarpur,2016,32.0,12.0,244.0,1.0
3,Punjab,33,Hoshiarpur,2017,32.0,12.0,244.0,1.0
3,Punjab,33,Hoshiarpur,2020,33.0,12.0,244.0,1.0
3,Punjab,33,Hoshiarpur,2021,33.0,12.0,244.0,1.0
3,Punjab,34,Jalandhar,2016,28.0,12.0,198.0,1.0
3,Punjab,34,Jalandhar,2017,29.0,12.0,198.0,1.0
3,Punjab,34,Jalandhar,2018,2.0,12.0,173.0,1.0
3,Punjab,34,Jalandhar,2020,37.0,14.0,198.0,1.0
3,Punjab,34,Jalandhar,2021,37.0,14.0,198.0,1.0
3,Punjab,35,Kapurthala,2016,12.0,5.0,88.0,1.0
3,Punjab,35,Kapurthala,2017,12.0,5.0,88.0,1.0
3,Punjab,35,Kapurthala,2018,0.0,5.0,81.0,1.0
3,Punjab,35,Kapurthala,2020,14.0,5.0,88.0,1.0
3,Punjab,35,Kapurthala,2021,14.0,5.0,88.0,1.0
3,Punjab,36,Ludhiana,2016,31.0,11.0,265.0,1.0
3,Punjab,36,Ludhiana,2017,31.0,11.0,265.0,1.0
3,Punjab,36,Ludhiana,2018,5.0,11.0,209.0,1.0
3,Punjab,36,Ludhiana,2020,47.0,16.0,265.0,1.0
3,Punjab,36,Ludhiana,2021,47.0,16.0,265.0,1.0
3,Punjab,37,Mansa,2016,14.0,4.0,103.0,1.0
3,Punjab,37,Mansa,2017,13.0,4.0,103.0,1.0
3,Punjab,37,Mansa,2018,3.0,4.0,76.0,1.0
3,Punjab,37,Mansa,2020,15.0,4.0,103.0,1.0
3,Punjab,37,Mansa,2021,15.0,4.0,103.0,1.0
3,Punjab,38,Moga,2016,21.0,6.0,122.0,1.0
3,Punjab,38,Moga,2017,21.0,6.0,122.0,1.0
3,Punjab,38,Moga,2018,10.0,6.0,89.0,1.0
3,Punjab,38,Moga,2020,23.0,6.0,122.0,1.0
3,Punjab,38,Moga,2021,23.0,6.0,122.0,1.0
3,Punjab,39,Sri Muktsar Sahib,2016,19.0,5.0,102.0,1.0
3,Punjab,39,Sri Muktsar Sahib,2017,19.0,5.0,102.0,1.0
3,Punjab,39,Sri Muktsar Sahib,2018,2.0,5.0,75.0,1.0
3,Punjab,39,Sri Muktsar Sahib,2020,20.0,5.0,102.0,1.0
3,Punjab,39,Sri Muktsar Sahib,2021,20.0,5.0,102.0,1.0
3,Punjab,40,Shahid Bhagat Singh Nagar,2016,17.0,3.0,95.0,1.0
3,Punjab,40,Shahid Bhagat Singh Nagar,2017,17.0,3.0,95.0,1.0
3,Punjab,40,Shahid Bhagat Singh Nagar,2018,4.0,3.0,92.0,1.0
3,Punjab,40,Shahid Bhagat Singh Nagar,2020,18.0,4.0,95.0,1.0
3,Punjab,40,Shahid Bhagat Singh Nagar,2021,18.0,4.0,95.0,1.0
3,Punjab,41,Patiala,2016,28.0,9.0,185.0,1.0
3,Punjab,41,Patiala,2017,28.0,9.0,185.0,1.0
3,Punjab,41,Patiala,2018,1.0,10.0,177.0,1.0
3,Punjab,41,Patiala,2020,40.0,10.0,185.0,1.0
3,Punjab,41,Patiala,2021,40.0,10.0,185.0,1.0
3,Punjab,42,Rupnagar,2016,12.0,5.0,85.0,1.0
3,Punjab,42,Rupnagar,2017,12.0,5.0,85.0,1.0
3,Punjab,42,Rupnagar,2018,1.0,5.0,67.0,1.0
3,Punjab,42,Rupnagar,2020,14.0,4.0,85.0,1.0
3,Punjab,42,Rupnagar,2021,14.0,4.0,85.0,1.0
3,Punjab,43,Sangrur,2016,28.0,8.0,192.0,1.0
3,Punjab,43,Sangrur,2017,28.0,8.0,192.0,1.0
3,Punjab,43,Sangrur,2018,7.0,8.0,183.0,1.0
3,Punjab,43,Sangrur,2020,33.0,8.0,192.0,1.0
3,Punjab,43,Sangrur,2021,26.0,6.0,142.0,1.0
3,Punjab,605,Barnala,2016,10.0,4.0,71.0,1.0
3,Punjab,605,Barnala,2017,10.0,4.0,71.0,1.0
3,Punjab,605,Barnala,2018,3.0,4.0,57.0,1.0
3,Punjab,605,Barnala,2020,12.0,4.0,71.0,1.0
3,Punjab,605,Barnala,2021,12.0,4.0,71.0,1.0
3,Punjab,608,S.A.S Nagar,2016,12.0,5.0,76.0,1.0
3,Punjab,608,S.A.S Nagar,2017,12.0,5.0,76.0,1.0
3,Punjab,608,S.A.S Nagar,2018,1.0,5.0,51.0,1.0
3,Punjab,608,S.A.S Nagar,2020,19.0,5.0,76.0,1.0
3,Punjab,608,S.A.S Nagar,2021,19.0,5.0,76.0,1.0
3,Punjab,609,Tarn Taran,2016,18.0,11.0,152.0,1.0
3,Punjab,609,Tarn Taran,2017,18.0,11.0,152.0,1.0
3,Punjab,609,Tarn Taran,2018,3.0,11.0,142.0,1.0
3,Punjab,609,Tarn Taran,2020,18.0,11.0,153.0,1.0
3,Punjab,609,Tarn Taran,2021,18.0,11.0,153.0,1.0
3,Punjab,651,Fazilka,2016,19.0,6.0,109.0,1.0
