StateCode,StateName,Year,notification_achievement,notification_target,notification_achievement_rate
23,Madhya Pradesh,2025,57707.0,160000.0,0.36066875
24,Gujarat,2017,114769.0,139256.0,0.8241583845579364
24,Gujarat,2018,141663.0,160923.0,0.8803154303611044
24,Gujarat,2019,156113.0,170000.0,0.9183117647058824
24,Gujarat,2020,117868.0,195000.0,0.6044512820512821
24,Gujarat,2021,141510.0,195000.0,0.7256923076923077
24,Gujarat,2022,150337.0,150000.0,1.0022466666666667
24,Gujarat,2023,141527.0,140000.0,1.0109071428571428
24,Gujarat,2024,82091.0,145000.0,0.5661448275862069
24,Gujarat,2025,47026.0,140000.0,0.3359
27,Maharashtra,2017,143847.0,207090.0,0.6946110386788353
27,Maharashtra,2018,191102.0,259535.0,0.7363245804997399
27,Maharashtra,2019,221554.0,265000.0,0.8360528301886793
27,Maharashtra,2020,155714.0,270000.0,0.5767185185185185
27,Maharashtra,2021,192026.0,270000.0,0.7112074074074074
27,Maharashtra,2022,230396.0,270000.0,0.8533185185185185
27,Maharashtra,2023,223597.0,250000.0,0.894388
27,Maharashtra,2024,128024.0,250000.0,0.512096
27,Maharashtra,2025,78663.0,230000.0,0.3420130434782609
28,Andhra Pradesh,2017,68513.0,94407.0,0.7257194911394282
28,Andhra Pradesh,2018,84611.0,115695.0,0.7313280608496477
28,Andhra Pradesh,2019,97237.0,115000.0,0.8455391304347826
28,Andhra Pradesh,2020,63050.0,115000.0,0.5482608695652174
28,Andhra Pradesh,2021,84987.0,115000.0,0.7390173913043478
28,Andhra Pradesh,2022,90714.0,115000.0,0.7888173913043478
28,Andhra Pradesh,2023,87751.0,105000.0,0.8357238095238095
28,Andhra Pradesh,2024,47844.0,100000.0,0.47844
28,Andhra Pradesh,2025,28060.0,0.0,
29,Karnataka,2017,70002.0,99702.0,0.7021122946380213
29,Karnataka,2018,79070.0,118895.0,0.6650405820261576
29,Karnataka,2019,90064.0,130000.0,0.6928
29,Karnataka,2020,64260.0,135000.0,0.476
29,Karnataka,2021,70540.0,135000.0,0.5225185185185185
29,Karnataka,2022,79092.0,100000.0,0.79092
29,Karnataka,2023,80586.0,100000.0,0.80586
29,Karnataka,2024,44516.0,90000.0,0.49462222222222224
29,Karnataka,2025,26412.0,80000.0,0.33015
30,Goa,2017,450.0,2059.0,0.2185526954832443
30,Goa,2018,859.0,2306.0,0.3725065047701648
30,Goa,2019,1031.0,3000.0,0.3436666666666667
30,Goa,2020,1007.0,3200.0,0.3146875
30,Goa,2021,1922.0,3200.0,0.600625
30,Goa,2022,1843.0,2400.0,0.7679166666666667
30,Goa,2023,1904.0,2200.0,0.8654545454545455
30,Goa,2024,1148.0,2000.0,0.574
30,Goa,2025,698.0,0.0,
31,Lakshadweep,2017,11.0,23.0,0.4782608695652174
31,Lakshadweep,2018,4.0,25.0,0.16
31,Lakshadweep,2019,4.0,30.0,0.13333333333333333
31,Lakshadweep,2020,9.0,20.0,0.45
31,Lakshadweep,2021,9.0,0.0,
31,Lakshadweep,2022,10.0,20.0,0.5
31,Lakshadweep,2023,6.0,12.0,0.5
31,Lakshadweep,2024,6.0,10.0,0.6
31,Lakshadweep,2025,6.0,10.0,0.6
32,Kerala,2017,20831.0,28957.0,0.7193770072866664
32,Kerala,2018,24106.0,31986.0,0.7536422184705809
32,Kerala,2019,25291.0,32000.0,0.79034375
32,Kerala,2020,20627.0,28000.0,0.7366785714285714
32,Kerala,2021,21772.0,28000.0,0.7775714285714286
32,Kerala,2022,23535.0,24000.0,0.980625
32,Kerala,2023,21612.0,22000.0,0.9823636363636363
32,Kerala,2024,11685.0,23000.0,0.5080434782608696
32,Kerala,2025,6715.0,22000.0,0.30522727272727274
33,Tamil Nadu,2017,86637.0,127077.0,0.6817677471139545
33,Tamil Nadu,2018,94374.0,153710.0,0.6139743673150738
33,Tamil Nadu,2019,107890.0,140000.0,0.7706428571428572
33,Tamil Nadu,2020,68601.0,145000.0,0.4731103448275862
33,Tamil Nadu,2021,81199.0,145000.0,0.5599931034482759
33,Tamil Nadu,2022,92736.0,120000.0,0.7728
33,Tamil Nadu,2023,95785.0,120000.0,0.7982083333333333
33,Tamil Nadu,2024,53959.0,110000.0,0.49053636363636366
33,Tamil Nadu,2025,33068.0,110000.0,0.30061818181818184
34,Puducherry,2017,806.0,2115.0,0.38108747044917257
34,Puducherry,2018,2182.0,2643.0,0.8255769958380628
34,Puducherry,2019,2994.0,3650.0,0.8202739726027397
34,Puducherry,2020,1599.0,4500.0,0.35533333333333333
34,Puducherry,2021,2982.0,4500.0,0.6626666666666666
34,Puducherry,2022,3348.0,4900.0,0.683265306122449
34,Puducherry,2023,3515.0,4100.0,0.8573170731707317
34,Puducherry,2024,2013.0,4100.0,0.49097560975609755
34,Puducherry,2025,1115.0,4000.0,0.27875
35,Andaman And Nicobar Islands,2017,159.0,608.0,0.26151315789473684
35,Andaman And Nicobar Islands,2018,149.0,667.0,0.22338830584707647
35,Andaman And Nicobar Islands,2019,167.0,550.0,0.30363636363636365
35,Andaman And Nicobar Islands,2020,221.0,600.0,0.36833333333333335
35,Andaman And Nicobar Islands,2021,479.0,600.0,0.7983333333333333
35,Andaman And Nicobar Islands,2022,470.0,530.0,0.8867924528301887
35,Andaman And Nicobar Islands,2023,506.0,520.0,0.9730769230769231
35,Andaman And Nicobar Islands,2024,323.0,500.0,0.646
35,Andaman And Nicobar Islands,2025,172.0,0.0,
36,Telangana,2017,38762.0,60704.0,0.6385411175540326
36,Telangana,2018,50968.0,76916.0,0.6626449633366269
36,Telangana,2019,70463.0,70000.0,1.0066142857142857
36,Telangana,2020,61942.0,82000.0,0.755390243902439
36,Telangana,2021,59877.0,82000.0,0.7302073170731708
36,Telangana,2022,72304.0,80000.0,0.9038
36,Telangana,2023,74703.0,80000.0,0.9337875
36,Telangana,2024,43695.0,82000.0,0.5328658536585366
36,Telangana,2025,26252.0,85000.0,0.3088470588235294
37,Ladakh,2017,77.0,380.0,0.2026315789473684
37,Ladakh,2018,215.0,458.0,0.46943231441048033
37,Ladakh,2019,167.0,420.0,0.3976190476190476
37,Ladakh,2020,128.0,420.0,0.3047619047619048
37,Ladakh,2021,286.0,560.0,0.5107142857142857
37,Ladakh,2022,324.0,350.0,0.9257142857142857
37,Ladakh,2023,289.0,250.0,1.156
37,Ladakh,2024,153.0,260.0,0.5884615384615385
37,Ladakh,2025,84.0,270.0,0.3111111111111111
38,The Dadra And Nagar Haveli And Daman And Diu,2017,529.0,1087.0,0.48666053357865685
38,The Dadra And Nagar Haveli And Daman And Diu,2018,665.0,1309.0,0.5080213903743316
38,The Dadra And Nagar Haveli And Daman And Diu,2019,839.0,1475.0,0.5688135593220339
38,The Dadra And Nagar Haveli And Daman And Diu,2020,593.0,1600.0,0.370625
38,The Dadra And Nagar Haveli And Daman And Diu,2021,964.0,1020.0,0.9450980392156862
38,The Dadra And Nagar Haveli And Daman And Diu,2022,1248.0,1100.0,1.1345454545454545
38,The Dadra And Nagar Haveli And Daman And Diu,2023,1077.0,1200.0,0.8975
38,The Dadra And Nagar Haveli And Daman And Diu,2024,619.0,0.0,
38,The Dadra And Nagar Haveli And Daman And Diu,2025,417.0,0.0,
